"","text_prepared.1","text_prepared.2","text_prepared.3","text_prepared.4","text_prepared.5","text_prepared.6","text_prepared.7","text_prepared.8","text_prepared.9","text_prepared.10","text_prepared.11","text_prepared.12","text_prepared.13","text_prepared.14","text_prepared.15","text_prepared.16","text_prepared.17","text_prepared.18","text_prepared.19","text_prepared.20","text_prepared.21","text_prepared.22","text_prepared.23","text_prepared.24","text_prepared.25","text_prepared.26","text_prepared.27","text_prepared.28","text_prepared.29","text_prepared.30","text_prepared.31","text_prepared.32","text_prepared.33","text_prepared.34","text_prepared.35","text_prepared.36","text_prepared.37","text_prepared.38","text_prepared.39","text_prepared.40","text_prepared.41","text_prepared.42","text_prepared.43","text_prepared.44","text_prepared.45","text_prepared.46","text_prepared.47","text_prepared.48","text_prepared.49","text_prepared.50","text_prepared.51","text_prepared.52","text_prepared.53","text_prepared.54","labels"
"labels13207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,3,28,306,1769,3,23,5284,204,2,1993,10,36,55,3709,1,306,1364,2,38,6,5605,6,15659,37,6,1073,36,84,16,190,1,1364,1
"labels13208",0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,84,2055,10,1364,18,5708,9,43,121,708,22,12,293,1028,8,250,14,6,116,10,4025,250,1,306,128,7,166,6,448,3990,306,256,36,116,12,256,1176,1383,102,1
"labels13209",0,0,0,0,0,0,0,0,0,9,43,121,708,22,12,293,1028,8,250,14,6,116,10,4025,250,1,306,128,7,166,6,448,3990,306,256,36,116,12,256,1176,1383,102,25,116,7,16,497,3,1,415,4,42,72,2061,1
"labels13210",0,0,0,0,0,0,0,0,0,0,1,306,128,7,166,6,448,3990,306,256,36,116,12,256,1176,1383,102,25,116,7,16,497,3,1,415,4,42,72,2061,2,25,7,16,3534,27,1,292,256,36,116,612,2383,5,220,1
"labels13211",0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,7,16,3534,27,1,292,256,36,116,612,2383,5,220,25,7,1158,368,256,36,1004,2,6649,26,7,341,14,7124,103,4,1,965,1052,316,2241,161,31,5,1,83,1
"labels13212",0,0,0,0,0,0,0,0,0,25,7,1158,368,256,36,1004,2,6649,26,7,341,14,7124,103,4,1,965,1052,316,2241,161,31,5,1,83,1,545,128,7,3285,306,674,1932,15,57,231,9,191,29,720,180,3,2828,45,1
"labels13213",7,341,14,7124,103,4,1,965,1052,316,2241,161,31,5,1,83,1,545,128,7,3285,306,674,1932,15,57,231,9,191,29,720,180,3,2828,45,352,1055,3,34,306,191,29,720,180,3,2828,45,295,9,1068,57,2406,5,5317,1
"labels13214",3285,306,674,1932,15,57,231,9,191,29,720,180,3,2828,45,352,1055,3,34,306,191,29,720,180,3,2828,45,295,9,1068,57,2406,5,5317,25,89,1215,1604,309,3527,13798,2346,11,15,14357,13341,1687,4,306,3,6,6730,674,1853,1
"labels13215",0,0,0,0,0,0,0,352,1055,3,34,306,191,29,720,180,3,2828,45,295,9,1068,57,2406,5,5317,25,89,1215,1604,309,3527,13798,2346,11,15,14357,13341,1687,4,306,3,6,6730,674,1853,309,15,5776,250,76,3,2406,1932,1
"labels13216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,89,1215,1604,309,3527,13798,2346,11,15,14357,13341,1687,4,306,3,6,6730,674,1853,309,15,5776,250,76,3,2406,1932,3897,2842,1
"labels13217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,6,342,1412,46,14,28,639,245,33,4,1,6362,72,2061,73,60,14,1,1045,155,1993,1,20,215,1795,1,126,235,3,183,2,173,106,126,1667,2393,1
"labels13218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,816,4,306,384,5,6,746,1940,9579,2,37,5965,306,68,53,4,1,900,1800,8,99,126,4727,298,659,4,28,306,7,1622,4158,132,298,57,1
"labels13219",0,0,0,0,160,42,86,1211,7,16,497,15,1,106,21,6,176,4069,80,10,957,22,748,8,2349,26,7,82,5,9944,2,306,1045,2,306,1933,15,202,270,212,8,7979,2,231,10,12,212,11,444,5,1,198,417,267,1
"labels13220",7,82,5,9944,2,306,1045,2,306,1933,15,202,270,212,8,7979,2,231,10,12,212,11,444,5,1,198,417,267,26,7,883,5,641,172,3,1,215,971,4,12,4479,154,71,10,354,5022,4253,15,8700,4,1,18,2,18,1
"labels13221",0,0,0,0,78,3,246,12,1045,2,3428,6,260,499,5,48,36,2,358,15,830,1371,13,176,189,126,845,9,43,1189,3,3087,693,8,599,2222,1045,34,582,3,19,70,11,10527,1053,1,547,2638,4,126,2738,1,568,2638,1
"labels13222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13081,2548,1993,1,20,215,8043,1,126,235,3,183,2,173,106,126,1667,3897,2842,1
"labels13223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266,7,153,77,5,306,71,2,408,361,96,217,8,771,4,1045,1,313,4,15768,2,6,1396,224,591,16,1202,297,2842,1933,512,1
"labels13224",0,0,0,0,0,0,0,0,0,0,0,0,0,166,973,2991,11433,11434,139,8,306,806,69,96,251,2,1238,2681,2,2778,14,4479,5282,290,2,11429,126,1665,40,1709,3587,1045,2412,2,1025,3,183,6,35,306,232,8,535,96,1
"labels13225",0,0,0,0,0,0,0,2,8,55,1,1027,1664,98,4,4479,5282,2,11429,126,1665,13,1238,96,2,2778,654,1045,92,49,16,332,3,1040,8,55,8,1238,2,2778,1,266,7,16,727,8,55,251,10,153,77,5,306,71,1
"labels13226",217,1,306,128,951,11,10,1,1048,85,166,6,139,3,30,1045,2412,2,1025,13,1,217,4,1,2746,120,1610,5,23,2746,480,1,306,128,7,62,578,8,2,34,1,1048,1036,13,1045,2412,2,1025,3,166,224,158,2746,480,1
"labels13227",0,0,0,0,0,0,39,17,190,6,587,4,6098,2,9298,2,6,107,4,1879,2,740,112,17,79,50,92,287,250,3,261,10,1,587,2229,282,2250,10,1203,4,2981,1146,22,13639,9008,95,1,67,2,99,8578,4,2981,1057,0
"labels13228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,17,79,50,92,287,250,3,261,10,1,587,2229,282,2250,10,1203,4,2981,1146,22,13639,9008,95,1,67,2,99,8578,4,2981,1057,12,111,11,5,6,3795,0
"labels13229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,67,2,99,8578,4,2981,1057,12,111,11,5,6,3795,3,3474,1,714,683,1967,15,2981,168,365,120,6,20,13,1,333,7,3,357,1,925,0
"labels13230",0,0,0,0,1276,4,12,587,3044,4,1,107,146,1,982,35,1029,245,98,91,744,8,6,363,2006,238,14,2226,9,1565,38,613,309,176,26,92,174,3,464,26,257,9,7348,226,10,9,92,38,1248,1053,86,4809,354,5176,0
"labels13231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,471,9,3868,2,473,1,1328,337,12,229,2564,57,4,31,18,8070,2,11,1957,15,23,2644,6,435,66,0
"labels13232",0,0,0,0,0,3,173,6,97,200,8,28,1111,435,1009,2,6,4983,66,161,1293,3,1,479,4,2981,120,29,291,44,3261,1192,3640,501,2,15139,28,12,111,18,187,26,1111,6,585,238,154,14,645,363,9891,2,363,6769,0
"labels13233",915,3,883,3,91,65,2,3,130,23,273,433,8,57,12,64,8985,8,1,218,4,1,2447,13,194,2,404,1385,3,6,1186,171,28,733,2569,4,392,1,152,4,200,151,6,20,10,2460,1,1120,43,16,2515,3,127,25,0
"labels13234",0,0,39,17,6,701,180,8,132,321,208,8,47,237,1203,1,35,128,3363,1,222,4,1211,8,993,5,1,759,145,10250,386,2,6,1118,4,759,399,22,2772,5,6,479,10,11,33,1,698,2808,4,150,4,12,99,683,0
"labels13235",0,0,0,8,47,237,1203,1,35,128,3363,1,222,4,1211,8,993,5,1,759,145,10250,386,2,6,1118,4,759,399,22,2772,5,6,479,10,11,33,1,698,2808,4,150,4,12,99,683,147,354,2715,1,180,3,273,1211,0
"labels13236",0,0,0,0,0,0,0,0,0,0,0,10250,386,2,6,1118,4,759,399,22,2772,5,6,479,10,11,33,1,698,2808,4,150,4,12,99,683,147,354,2715,1,180,3,273,1211,1501,178,200,32,88,2715,3,905,4,31,0
"labels13237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,354,2715,1,180,3,273,1211,1501,178,200,32,88,2715,3,905,4,31,9,7,341,14,1,42,2,1,2865,2,1,2154,4,7223,0
"labels13238",0,0,0,0,0,0,0,1501,178,200,32,88,2715,3,905,4,31,9,7,341,14,1,42,2,1,2865,2,1,2154,4,7223,9,7,1032,7236,3,357,1,120,4,1,1602,21,172,4,6,229,3,1226,1,2981,2477,81,52,1
"labels13239",0,168,365,32,24,60,979,36,187,3,56,8,28,91,31,101,2981,86,187,354,444,3,56,8,6,124,3374,4,238,14,1,518,4,1590,2,915,2125,4,175,3603,54,330,887,1633,32,2751,327,10,121,665,3360,268,43,4788,0
"labels13240",6,124,3374,4,238,14,1,518,4,1590,2,915,2125,4,175,3603,54,330,887,1633,32,2751,327,10,121,665,3360,268,43,4788,1,890,4,1,1309,18,36,89,11,324,2,325,36,56,3,34,10,28,168,993,17,1688,701,393,0
"labels13241",887,1633,32,2751,327,10,121,665,3360,268,43,4788,1,890,4,1,1309,18,36,89,11,324,2,325,36,56,3,34,10,28,168,993,17,1688,701,393,666,7,16,1,421,2,187,7,16,2852,541,33,199,145,2,330,9950,71,1
"labels13242",16,1,421,2,187,7,16,2852,541,33,199,145,2,330,9950,71,29,1309,20,7,5,91,36,229,127,1,807,249,302,2,786,6,296,263,5,1831,8,1,268,18,75,54,373,4,4107,3284,2,133,36,56,8,75,101,315,1
"labels13243",2852,541,33,199,145,2,330,9950,71,29,1309,20,7,5,91,36,229,127,1,807,249,302,2,786,6,296,263,5,1831,8,1,268,18,75,54,373,4,4107,3284,2,133,36,56,8,75,101,315,192,323,3,68,1299,24,325,1
"labels13244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,323,3,68,1299,24,325,685,296,187,33,3130,4694,1642,2,73,6508,6823,1633,674,2,73,14787,1148,1,1549,4,954,36,724,1
"labels13245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,296,187,33,3130,4694,1642,2,73,6508,6823,1633,674,2,73,14787,1148,1,1549,4,954,36,724,358,2,1250,1
"labels13246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,2,1250,6,1831,291,3,75,1331,376,1,1136,2,569,4,377,7,16,470,3,12,358,89,29,1788,229,7,16,6327,3,2865,75,1
"labels13247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1831,291,3,75,1331,376,1,1136,2,569,4,377,7,16,470,3,12,358,89,29,1788,229,7,16,6327,3,2865,75,28,31,1166,3,436,1108,5,1321,2,13,134,1
"labels13248",1,2418,1120,4,12,31,22,88,884,1139,15,6,52,10,3190,108,15,211,2,4237,1,111,4,1,836,39,467,22,230,194,84,16,2779,3,28,50,354,5986,203,21,993,2,4445,21,147,1,1136,2,21,31,4533,5,199,145,0
"labels13249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,6392,4,293,388,499,3,48,36,2,73,145,95,1,901,17,706,293,32,88,444,14,6,2006,518,2,8685,5,940,2,1861,0
"labels13250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,901,17,706,293,32,88,444,14,6,2006,518,2,8685,5,940,2,1861,25,7,16,621,891,13,0
"labels13251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1954,598,7,16,1797,3,105,5,514,13,1,19,602,287,73,735,2258,134,1196,7,16,1688,23,1250,14,914,37,39,7,49,1536,1060,321,125,1
"labels13252",242,4,1,1309,4087,1,1153,8,250,3,40,407,3,158,168,365,8,1,97,1,1309,1351,1,6746,4,12,111,18,479,9,17,7108,10,333,7,29,214,4,804,2,1257,2,6,13731,1684,229,17,1,629,1153,8,4966,2,65,0
"labels13253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10,956,2,8,28,12,111,43,613,804,2,134,78,10,9,43,2028,1,1248,4,21,6,1276,2,312,31,135,407,8,6,97,83,201,11,1,109,0
"labels13254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10,9,43,2028,1,1248,4,21,6,1276,2,312,31,135,407,8,6,97,83,201,11,1,109,4325,168,365,0
"labels13255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,11,1,109,4325,168,365,1,585,128,744,0
"labels13256",9,1125,10,151,67,141,5,6,133,235,43,153,1,915,538,3,464,25,9,261,168,365,32,1,372,3,174,91,275,2241,1,4765,420,4,1,83,2,3,434,1,1509,5,6,19,365,1,585,128,18,242,43,464,25,744,0
"labels13257",21,6,2818,2965,1730,106,3507,642,2,468,756,84,16,605,8,28,3564,2,443,2074,50,127,38,883,3,23,273,642,37,468,653,756,156,2,80,194,898,365,84,16,1531,3811,78,10,168,365,43,174,6,850,263,5,1,2636,1
"labels13258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,84,16,621,5,6,3306,267,2,38,5,6,3024,4,10136,168,365,2870,5840,1875,284,2907,435,787,7,22,3,16,1573,934,0
"labels13259",0,0,0,0,0,0,0,0,0,0,0,0,531,27,5235,121,103,5,168,365,85,2837,4,12059,37,11091,1,585,128,7,2417,2,30,756,3,34,10,79,5,74,22,76,3,3147,252,869,5,617,75,1,741,2,3425,147,1
"labels13260",85,2837,4,12059,37,11091,1,585,128,7,2417,2,30,756,3,34,10,79,5,74,22,76,3,3147,252,869,5,617,75,1,741,2,3425,147,25,7,16,416,118,1187,15,179,363,358,552,2,1769,3,665,82,756,37,324,100,1
"labels13261",617,75,1,741,2,3425,147,25,7,16,416,118,1187,15,179,363,358,552,2,1769,3,665,82,756,37,324,100,1,140,1780,1666,4,12,562,94,11,3,105,5091,2,5684,1,268,13,1694,325,252,2,5684,14,6,2574,5929,518,1
"labels13262",1628,10,1,204,4,31,47,7,820,1122,5,1,186,57,3,42,2,1,204,4,31,47,7,87,15,921,482,84,16,230,8,1,741,182,39,17,3,1536,161,152,4,200,1,741,17,2047,3,1321,2,239,2,921,36,45,1
"labels13263",798,1,793,203,79,50,22,416,8,23,914,1,741,7,16,1797,3,1197,5,1,69,2,5275,30,84,16,270,3,104,1831,8,1,741,5,843,897,36,56,7,16,416,54,1341,36,1884,2,1,1840,4,1,52,4,69,2264,1
"labels13264",0,0,0,0,0,0,1,741,7,16,1797,3,1197,5,1,69,2,5275,30,84,16,270,3,104,1831,8,1,741,5,843,897,36,56,7,16,416,54,1341,36,1884,2,1,1840,4,1,52,4,69,2264,116,519,84,16,12544,1
"labels13265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,519,84,16,12544,58,20,1705,84,82,3,62,325,1188,8,1,741,1321,8,1,1136,1
"labels13266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,1,6263,4,1,587,150,2211,416,8,5,73,2992,4,25,1624,7,7087,351,2981,4738,689,1,867,4,639,2687,469,1886,0
"labels13267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,2,940,330,2,1,1697,1642,875,1
"labels13268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,2,1,1697,1642,875,151,1,1309,32,1,744,2,2350,3,2099,1,2808,1558,4,86,2,73,683,1
"labels13269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,168,365,11,1247,5,150,3314,21,29,719,3,1,83,12,111,11,2259,14,28,2,9,22,777,984,13,820,28,420,0
"labels13270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,42,885,3,548,622,36,56,8,1,706,13,47,19,1884,777,37,3205,133,468,56,8,75,101,729,2,3425,147,3534,212,3,71,13,3899,4,212,3534,3,885,1
"labels13271",19,1884,777,37,3205,133,468,56,8,75,101,729,2,3425,147,3534,212,3,71,13,3899,4,212,3534,3,885,1224,363,2006,48,13,1,1120,4,75,6384,97,76,3,48,19,2945,777,37,3205,2,42,24,75,1437,90,1,48,52,1
"labels13272",1309,32,1437,190,5,509,13,1,31,5,28,86,506,9,22,825,1,706,2,1,140,772,79,50,2449,1,140,27,1,4,2981,26,11,151,15,6486,1,1286,3229,5,12,238,10,9,2143,16,332,3,173,6,1929,363,2006,740,1
"labels13273",0,0,0,0,0,0,0,0,0,0,0,0,0,4696,28,86,1212,22,88,621,95,11,26,979,112,18,725,71,17,649,8953,15,234,150,4,250,649,384,5,330,2,58,20,649,32,3,130,116,3,1,31,1,1309,7787,0
"labels13274",132,94,1676,8,158,315,57,4,531,22,1437,19,125,19,6950,2,19,194,8,132,94,4,12,238,8,1,175,2,1,741,8,1190,2,199,31,8,163,2,511,1,1309,32,1,242,5,275,8,250,3,173,6,97,200,407,0
"labels13275",9,22,605,6,296,846,1024,14,398,3,87,1616,2,3,1844,727,2,1957,200,12586,809,1,175,31,4,12,111,407,1636,250,1168,1,35,398,116,229,2,1636,250,173,6,1792,398,602,4,3278,116,2,5600,6,97,200,8,163,0
"labels13276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,76,3,36,1,698,175,22,88,416,2,4329,4909,32,88,840,6,229,2,2068,11091,5,100,22,88,605,88,1500,3,982,75,1
"labels13277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,229,2,2068,11091,5,100,22,88,605,88,1500,3,982,75,469,208,543,3,1,875,75,1
"labels13278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1500,3,982,75,469,208,543,3,1,875,75,598,28,4,12,75,43,436,53,407,121,708,5788,15,2981,18,7148,1
"labels13279",0,0,0,0,0,0,0,0,0,0,0,0,121,708,85,39,16,5,1,212,4,23,2623,1,1309,11,1076,373,44,351,1,7181,4,1,741,445,5,706,71,1,1840,1108,741,3,28,1108,31,1566,1,2006,793,4,1,587,1
"labels13280",2,1141,5,4,948,22,88,605,41,36,5189,622,1,433,4,1,741,54,1,222,4,1884,5,1334,145,2,469,36,56,251,287,133,9820,961,2,2095,4,13845,373,22,88,605,1108,419,290,2,3,10950,56,4,1108,31,90,71,1
"labels13281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,629,31,22,76,3,622,3,194,2618,2715,1,1120,598,39,43,1669,13,1,198,5,1,83,2779,53,1,83,3,12,2113,2,14199,76,3,194,44,285,3423,133,10622,0
"labels13282",0,0,0,0,0,0,1,1309,7,1144,53,1,229,3,130,1,152,4,200,4,1,31,1,677,203,330,1111,6,478,4515,232,10,438,164,28,650,2,2293,617,1886,3,199,2,1420,145,1,1309,7,34,28,20,373,40,407,1
"labels13283",126,341,14,556,126,14,181,2916,212,13,76,3,4718,2,6486,1,2981,321,1330,3880,154,14,895,145,2,2946,4,1,1120,27,519,4,67,970,130,2,1144,53,1,1503,229,61,448,373,3,7173,462,4,1,759,706,5,2798,1593,1
"labels13284",76,3,4718,2,6486,1,2981,321,1330,3880,154,14,895,145,2,2946,4,1,1120,27,519,4,67,970,130,2,1144,53,1,1503,229,61,448,373,3,7173,462,4,1,759,706,5,2798,1593,113,73,325,922,4,2111,1211,287,2826,953,1
"labels13285",0,0,0,0,0,0,0,0,0,0,0,0,30,1,31,18,126,337,1380,53,126,30,519,3,82,706,31,173,23,273,1211,510,187,2,1439,325,1943,632,4,1,204,4,2865,706,84,434,6,1187,1670,4,12,766,99,134,1
"labels13286",0,1,1309,1057,213,3,231,10,616,5,12,111,11,332,3,384,1192,1,430,281,847,12,99,134,889,84,472,1,140,772,1,706,1,741,1,10216,1,1136,1,175,5,1,186,57,9,7,105,3,130,1,236,4,99,566,1
"labels13287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,522,5,275,3,1226,1887,2,940,130,76,3,566,54,809,957,688,1,702,453,117,21,172,4,6,448,99,134,52,9,7,192,6,36,1
"labels13288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,76,3,566,54,809,957,688,1,702,453,117,21,172,4,6,448,99,134,52,9,7,192,6,36,206,1
"labels13289",0,0,0,0,0,0,0,0,36,56,47,1,186,57,1,1309,7,183,6,448,325,2,41,36,52,5310,5,172,15,6,99,36,549,229,9,7,130,36,56,15,392,1,2252,4,1123,2,1066,541,5,1884,2,1,199,145,1
"labels13290",186,57,1,1309,7,183,6,448,325,2,41,36,52,5310,5,172,15,6,99,36,549,229,9,7,130,36,56,15,392,1,2252,4,1123,2,1066,541,5,1884,2,1,199,145,231,2252,4,325,1299,5,514,13,12,35,681,89,1
"labels13291",0,0,0,0,0,0,0,0,0,0,0,0,9,7,130,36,56,15,392,1,2252,4,1123,2,1066,541,5,1884,2,1,199,145,231,2252,4,325,1299,5,514,13,12,35,681,89,392,1,236,4,475,2,1884,13,69,597,1
"labels13292",0,0,0,0,0,0,0,0,0,0,0,122,4852,3,2099,3998,3244,54,2241,957,12,4107,229,2,323,3,1230,4694,556,2510,203,507,2703,2,1004,678,5,509,13,28,650,4,238,9,7,105,3,246,4564,421,3,1697,1642,373,1
"labels13293",0,0,0,0,0,0,0,0,0,0,0,5,509,13,28,650,4,238,9,7,105,3,246,4564,421,3,1697,1642,373,1,1309,7,87,506,3,5360,3465,1616,4,1,7470,4,1,4478,105,3,139,165,3,863,6,4910,8,1642,1
"labels13294",54,2576,775,189,220,399,9,7,105,3,246,421,3,99,304,2,34,1,187,918,79,39,17,1652,33,33,1,364,109,9,7,105,3,130,894,2441,937,35,437,33,29,427,209,2,34,10,9,87,80,5,99,2,67,117,1
"labels13295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,296,35,6043,7,16,2332,203,1,3544,4,725,330,2,1216,1
"labels13296",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1309,18,291,3,3130,234,2,940,11,5,514,13,12,1200,744,8,12,111,9,84,16,1477,14,1,3895,1838,4,234,114,21,330,2,1216,2,1477,14,234,2,940,893,1
"labels13297",0,0,0,0,3174,58,20,1,19,3835,58,379,22,2197,150,3065,1,3221,4,2398,45,2,117,3174,8301,4141,58,20,1,602,4,363,948,2,6597,4,5943,5,322,1763,1643,145,1,1309,7,4291,58,20,4407,3,68,108,3088,2149,0
"labels13298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,6,97,365,2,6,97,83,1,109,32,676,8,365,18,8637,12,925,21,993,11,3,249,804,2,65,0
"labels13299",0,0,0,0,0,0,0,0,0,25,1111,71,10,4806,6620,1031,3,351,23,683,297,900,8,2150,37,1550,6918,27,2537,26,1111,376,50,2655,23,111,2,17,1266,3,425,26,1794,6,359,3,185,5,12,31,2,5,12,111,0
"labels13300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1111,376,50,2655,23,111,2,17,1266,3,425,26,1794,6,359,3,185,5,12,31,2,5,12,111,26,1875,2709,2,6,97,40,7828,27,28,4,250,0
"labels13301",0,0,0,0,0,0,0,983,47,1,587,5897,57,1,982,35,1029,18,1309,1587,190,1,1415,4,168,982,238,2,6486,12,683,22,5187,1982,5,9,2231,22,88,332,3,1227,322,4,86,1587,21,1609,24,60,13455,37,2027,11093,0
"labels13302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,3,677,269,26,11,109,3,677,269,1,585,128,3247,32,6,97,66,8,2817,0
"labels13303",0,0,0,0,0,0,616,32,76,3,1,2070,299,13,44,3,174,1454,4,1,125,2,2529,2349,15,1,998,482,11,230,8,79,50,591,62,1953,8,893,781,295,4,4770,349,1288,419,37,5616,3,2770,184,194,17,4728,317,1
"labels13304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,940,2,8465,3,3170,1,1446,2,9220,2,11061,5,238,2,1,64,1
"labels13305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,152,48,8,12,75,3,1,36,4,28,12,376,4118,212,3,1,10216,1
"labels13306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,36,4,28,12,376,4118,212,3,1,10216,1,3247,18,1187,1051,1
"labels13307",2083,15,99,4631,2,1,981,4,6,785,214,1,106,84,786,91,263,5,254,8,79,50,591,127,78,8,893,25,1111,358,10,1036,13,770,230,21,844,21,417,3,1,2640,2,8686,14,1,1929,14609,2,1,274,113,4,45,1
"labels13308",0,0,1,106,84,786,91,263,5,254,8,79,50,591,127,78,8,893,25,1111,358,10,1036,13,770,230,21,844,21,417,3,1,2640,2,8686,14,1,1929,14609,2,1,274,113,4,45,6,3247,776,3,153,77,8,175,31,1
"labels13309",1,1642,15546,1,3247,1557,6,3588,6573,291,3,36,56,10,438,1861,2752,179,36,56,3,436,1709,106,45,2,5515,71,2,3406,3,786,6,353,219,263,5,666,1,20,18,421,32,88,3,158,1,341,27,878,3,324,36,56,1
"labels13310",436,1709,106,45,2,5515,71,2,3406,3,786,6,353,219,263,5,666,1,20,18,421,32,88,3,158,1,341,27,878,3,324,36,56,95,1,158,226,4745,1992,2,1224,366,1034,78,324,404,22,38,622,2,907,404,22,3154,1
"labels13311",421,32,88,3,158,1,341,27,878,3,324,36,56,95,1,158,226,4745,1992,2,1224,366,1034,78,324,404,22,38,622,2,907,404,22,3154,2795,907,45,114,21,16117,22,820,13003,171,544,716,6594,8,619,8,428,701,468,1886,1
"labels13312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479,5,106,475,106,475,17,5965,101,2031,2,101,1979,112,11,29,1013,2991,1511,3221,8,106,475,2,17,78,12483,10,39,7,16,5,1065,57,1
"labels13313",706,135,462,2,157,32,1967,6,3747,3295,4,1123,2,1066,98,4,1,41,94,86,3913,17,3245,6264,1129,219,1058,14,1934,496,2,8159,544,433,5566,1886,11,543,3,386,323,78,3619,11,7371,4,1299,1655,3,106,475,7,191,5089,1
"labels13314",0,0,5566,1886,11,543,3,386,323,78,3619,11,7371,4,1299,1655,3,106,475,7,191,5089,544,17,3696,603,3,547,23,273,252,2,13017,5904,8225,32,49,2679,3,130,2642,327,15,899,6,63,4,1730,69,116,8,6321,468,167,1
"labels13315",0,0,0,0,0,0,0,0,0,0,544,17,3696,603,3,547,23,273,252,2,13017,5904,8225,32,49,2679,3,130,2642,327,15,899,6,63,4,1730,69,116,8,6321,468,167,95,939,716,1118,1,612,3,157,2704,8,86,1123,1
